Date,ibov_pnl_cum,single_pnl_cum,total_pnl_cum
2022-03-04,0.0,0.0,0.0
2022-03-07,1446.2018801284337,-1335.5382879847682,110.66359214366548
2022-03-08,-1095.535224284915,-1008.8487445672893,-2104.3839688522044
2022-03-09,1482.852446838632,-2742.8353447534396,-1259.9828979148076
2022-03-10,1061.824478987551,-2927.6551488166524,-1865.8306698291012
2022-03-11,3800.268732868886,-3139.3704711863743,660.8982616825124
2022-03-14,4508.589786608009,-3420.3735142451337,1088.2162723628749
2022-03-15,1922.5278655435209,-3366.9273251687714,-1444.3994596252505
2022-03-16,7032.727896342141,-3637.3443584405736,3395.3835379015673
2022-03-17,9113.48818254008,-3415.0671060803147,5698.421076459766
2022-03-18,14934.387239355585,-3685.1995680697783,11249.187671285807
2022-03-21,15261.957859337268,-4114.320881792678,11147.636977544591
2022-03-22,13385.100272223302,-4312.437494144819,9072.662778078486
2022-03-23,11788.037517331388,-3798.644399039155,7989.393118292235
2022-03-24,14921.36105158321,-3791.359792046149,11130.001259537063
2022-03-25,10248.664615518288,-4035.9277150067555,6212.736900511534
2022-03-28,2522.72466479021,-3554.0444636467255,-1031.3197988565134
2022-03-29,-866.5049805948602,-3573.8278342012236,-4440.332814796082
2022-03-30,-1645.6472436666434,-3126.263498905577,-4771.910742572219
2022-03-31,-3978.7571611507265,-2950.4334008725727,-6929.190562023297
2022-04-01,-942.8535847797675,-2822.7712986827455,-3765.624883462511
2022-04-04,-1222.4591173555984,-2636.387155831977,-3858.846273187574
2022-04-05,12808.121104556532,-2829.367134468658,9978.753970087877
2022-04-06,13524.454107595615,-2835.3236538083174,10689.1304537873
2022-04-07,13669.531056756116,-3033.8113882940315,10635.719668462087
2022-04-08,14661.113304643319,-2975.916810919509,11685.196493723812
2022-04-11,22273.262385548078,-3114.5476814333,19158.71470411478
2022-04-12,25165.92089988264,-2006.1118232069462,23159.809076675698
2022-04-13,23661.41389577423,-1780.76689921446,21880.64699655977
2022-04-14,25318.134532524524,-1080.486562328014,24237.647970196515
2022-04-18,26387.192625743013,-1210.2283514601156,25176.964274282902
2022-04-19,25286.14217260042,-647.0168101977537,24639.12536240267
2022-04-20,26264.48003286204,-424.152864908933,25840.32716795311
2022-04-22,63097.612299716864,-865.4296730929148,62232.18262662395
2022-04-25,61290.020618177216,-836.8329004447476,60453.18771773247
2022-04-26,86997.37432038305,-1360.3589104905338,85637.01540989253
2022-04-27,87072.5898765337,-1440.0130897479055,85632.57678678581
2022-04-28,85813.54533526191,-834.2684261489882,84979.27690911293
2022-04-29,107492.67713157898,-825.136535294428,106667.54059628457
2022-05-02,99616.31498393678,-589.2561080133952,99027.05887592341
2022-05-03,72890.36666786489,223.01326288470455,73113.37993074961
2022-05-04,97642.12824884405,-199.9899319078063,97442.13831693627
